"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"brandon","spotify:track:11PUdjgVfGEZLG9zs9UeTp","Hackensack","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","spotify:album:6TZp52tXShLQbq8yNMxqNT","Welcome Interstate Managers","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","2003-01-01","https://i.scdn.co/image/ab67616d0000b273079e826265dffc3a8a26bac5","1","4","180093","https://p.scdn.co/mp3-preview/ed393ace869680b31ca6fbd903a079499d12e57a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USESC0300003","","2023-11-30T00:50:06Z","pop rock,power pop","0.675","0.52","3","-9.515","1","0.0317","0.543","0.000256","0.0965","0.701","117.008","4","","S-Curve Records","C © 2003 S-Curve 2, P ℗ 2003 EMI Music North America"
"brandon","spotify:track:5rGzBWdjACA9PPlnkzVtuI","Man & Dog","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","spotify:album:7qSHGvHVPP2zVdXxTNhYdB","Surviving Twin","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","2018-11-09","https://i.scdn.co/image/ab67616d0000b27308b35e7e91fbf57c4ad97dfd","1","14","208960","https://p.scdn.co/mp3-preview/9334dff7fd6b626bb3d283d0c40288fea5629283?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USSWQ1702214","","2023-11-27T20:12:45Z","folk,singer-songwriter","0.6","0.131","2","-18.678","1","0.0327","0.931","0.000435","0.115","0.693","104.839","4","","Proper Records","C 2018 Proper Music Publishing Ltd, P 2018 Story Sound Records and Proper Music Publishing Ltd"
"brandon","spotify:track:06SuWP88FehrNGPxKpCvVj","One Man Guy","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","spotify:album:5jZVK32jJREEF2CIEXfjzJ","I'm Alright","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","1985-01-01","https://i.scdn.co/image/ab67616d0000b273c86d7b9913f5c80d9ec9de9c","1","1","255533","https://p.scdn.co/mp3-preview/08b1328af80e1d17d502a9cfe835b7808c5de196?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USRO28609601","","2023-11-27T19:49:29Z","folk,singer-songwriter","0.577","0.18","7","-16.454","1","0.0654","0.768","0","0.147","0.365","123.216","4","","New Rounder","C © 1985 Rounder Records. Manufactured and distributed by Concord Music Group, Inc., distributed by Concord Music Group, Inc., P ℗ 1985 Rounder Records. Manufactured and distributed by Concord Music Group, Inc., distributed by Concord Music Group, Inc."
"brandon","spotify:track:5K2svwRF0VJZHvvHL2tpJG","Strange Weirdos","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","spotify:album:6L1QV8S8MbJxRdm3UqQyz9","Strange Weirdos: Music From And Inspired By The Film Knocked Up","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","2007-01-01","https://i.scdn.co/image/ab67616d0000b2734054ad4034544e1d65497b06","1","13","246493","https://p.scdn.co/mp3-preview/e75b33a2699e2229284ba9f568490948b1719c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USC4R0714466","","2023-11-24T02:44:38Z","folk,singer-songwriter","0.393","0.343","4","-8.34","1","0.0291","0.614","0","0.114","0.231","121.886","4","","Concord Records","C © 2007 Motion Picture Artwork, Artwork Title & Photos C 2007 Universal Studios, P ℗ 2007 Concord Music Group, Inc."
"brandon","spotify:track:2bjfXe8SOsCl17b29eGLvg","No More - Live","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","spotify:album:13xlpKbai3GGoMSr75lOeX","Into The Wild (Music For The Motion Picture)","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","2007-09-18","https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80","1","16","270466","https://p.scdn.co/mp3-preview/ae4277ec3419f9bec998c14fbb59cab5d0568b99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USJY51700115","","2023-11-24T02:43:07Z","acoustic rock,grunge,permanent wave","0.337","0.605","7","-7.84","1","0.0277","0.862","0.0031","0.944","0.424","59.327","4","","Into The Wild Soundtrack","C © 2007 Seattle Surf Co. LLC, Under Exclusive License To UMG Recordings, Inc., P ℗ 2007 Seattle Surf Co. LLC, Under Exclusive License To UMG Recordings, Inc."
"brandon","spotify:track:7bRIcnISj2dhgTP8g5AoZg","Here's To The State - Live","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","spotify:album:13xlpKbai3GGoMSr75lOeX","Into The Wild (Music For The Motion Picture)","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","2007-09-18","https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80","1","15","351253","https://p.scdn.co/mp3-preview/6e310c4c28b22214dba0cd2070313c80c4897365?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USJY51700114","","2023-11-24T02:43:06Z","acoustic rock,grunge,permanent wave","0.428","0.435","7","-9.082","1","0.0306","0.701","0","0.695","0.298","66.083","4","","Into The Wild Soundtrack","C © 2007 Seattle Surf Co. LLC, Under Exclusive License To UMG Recordings, Inc., P ℗ 2007 Seattle Surf Co. LLC, Under Exclusive License To UMG Recordings, Inc."
"brandon","spotify:track:1HrU3nSY7CNMr43DMHnhYw","You Can't Fail Me Now","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","spotify:album:6L1QV8S8MbJxRdm3UqQyz9","Strange Weirdos: Music From And Inspired By The Film Knocked Up","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","2007-01-01","https://i.scdn.co/image/ab67616d0000b2734054ad4034544e1d65497b06","1","2","225866","https://p.scdn.co/mp3-preview/3ad2ed004b9477df313da2ae40739c9ba9d8ca22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USC4R0714455","","2023-11-24T02:38:14Z","folk,singer-songwriter","0.546","0.441","2","-7.989","1","0.0277","0.626","0.00052","0.115","0.246","119.488","4","","Concord Records","C © 2007 Motion Picture Artwork, Artwork Title & Photos C 2007 Universal Studios, P ℗ 2007 Concord Music Group, Inc."
"brandon","spotify:track:4gsOR9hEmZqJF8BSLKuHUA","Losing Touch","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:0Ug5scDXUIgGN8yanDBLQw","Day & Age (Bonus Tracks)","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2008-11-18","https://i.scdn.co/image/ab67616d0000b273a43cd43ef4f3b2d5413b17f9","1","1","253653","https://p.scdn.co/mp3-preview/3e25a956376cf59decca00ea50c9fac752b45ffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USUM70842809","","2023-11-09T02:58:11Z","alternative rock,dance rock,modern rock,permanent wave,rock","0.535","0.842","11","-5.624","1","0.0508","0.0388","0.000022","0.386","0.414","117.966","4","","Island Records","C © 2008 UMG Recordings, Inc., P ℗ 2008 UMG Recordings, Inc."
"brandon","spotify:track:0kqRLlm0x883kz3fttwFea","Four Winds","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:6IvLZRK5jCyZdrHGPVab4a","Spaceman (Remixes)","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2008-11-04","https://i.scdn.co/image/ab67616d0000b273c33df55ab818d56f4584d666","1","8","235320","https://p.scdn.co/mp3-preview/a17431fb533219410a3eb8a3c3823c31e2fd2af9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USUM70956346","","2023-11-09T02:45:01Z","alternative rock,dance rock,modern rock,permanent wave,rock","0.652","0.736","10","-6.273","1","0.0396","0.00158","0.123","0.221","0.596","139.969","4","","Island Records","C © 2018 UMG Recordings, Inc., P ℗ 2018 UMG Recordings, Inc."
"brandon","spotify:track:1vFxgDgIM0hVxWUiKws1GV","Glamorous Indie Rock And Roll - Sawdust Version","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4NtamseeVOGesCm8W9oHSz","Sawdust","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2007-01-01","https://i.scdn.co/image/ab67616d0000b273c535aaba615ccebdf91f9192","1","10","256546","https://p.scdn.co/mp3-preview/2c5f3e50ed643e67c69ecf77bfb2309ad7aa5dec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USIR20400425","","2023-11-09T02:10:28Z","alternative rock,dance rock,modern rock,permanent wave,rock","0.38","0.89","5","-3.491","0","0.0438","0.0104","0.000369","0.147","0.554","76.594","4","","Island Records","C © 2007 The Island Def Jam Music Group, P ℗ 2007 The Island Def Jam Music Group"
