"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"angelo","spotify:track:4NVNapccSX7E5JLiW0uQEy","Pound Cake / Paris Morton Music 2","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Drake, JAY-Z","spotify:album:1XslIirSxfAhhxRdn4Li9t","Nothing Was The Same","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2013-01-01","https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d","1","13","432853","https://p.scdn.co/mp3-preview/44e1e2cb4bba1d2dade08d57216959e827f4c79d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USCM51300754","spotify:user:angelolicini","2021-05-23T04:51:34Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,east coast hip hop,gangster rap,hip hop,pop rap,rap","0.52","0.761","2","-6.75","1","0.536","0.139","0.0000113","0.114","0.264","164.083","4","","Cash Money Records/Young Money Ent./Universal Rec.","C © 2013 Cash Money Records Inc., P ℗ 2013 Cash Money Records Inc."
"angelo","spotify:track:3s7MCdXyWmwjdcWh7GWXas","Violent Crimes","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Ek1q2haOnxVqhvVKqMvJe","ye","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2018-06-01","https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2","1","7","215320","https://p.scdn.co/mp3-preview/46bee66e9e81c3a3784069ba2fd9d2d24772760b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71807795","spotify:user:angelolicini","2021-05-23T04:51:23Z","chicago rap,hip hop,rap","0.669","0.419","1","-6.724","0","0.522","0.376","0","0.187","0.0397","109.813","4","","Getting Out Our Dreams, Inc./Def Jam Recordings","C © 2018 Getting Out Our Dreams II, LLC Distributed By Def Jam, A Division of UMG Recordings, Inc., P ℗ 2018 Getting Out Our Dreams II, LLC Distributed By Def Jam, A Division of UMG Recordings, Inc."
"angelo","spotify:track:5D2mYZuzcgjpchVY1pmTPh","Candy Shop","spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:5YBSzuCs7WaFKNr7Bky0Uf","50 Cent, Olivia","spotify:album:2pidzXTaHV4WaIJYRxKDCH","The Massacre","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","2005-03-03","https://i.scdn.co/image/ab67616d0000b27391f7222996c531b981e7bb3d","1","7","209106","https://p.scdn.co/mp3-preview/b92617a6011fe70dc2d7b20e47ffb843d1bcdd73?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USIR10500072","spotify:user:angelolicini","2021-05-23T04:51:54Z","east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap","0.614","0.574","11","-7.961","1","0.466","0.0253","0.000032","0.38","0.755","125.173","5","","Aftermath/Shady","C © 2004 Shady Records/Aftermath Records/Interscope Records, P ℗ 2004 Shady Records/Aftermath Records/Interscope Records"
"angelo","spotify:track:4RY96Asd9IefaL3X4LOLZ8","In Da Club","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","spotify:album:4ycNE7y1rp5215g1kkqk1P","Get Rich Or Die Tryin'","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","2003-02-06","https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf","1","5","193466","https://p.scdn.co/mp3-preview/c2905c98bb694c479e6f0b5c0376b2242971d041?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USIR10300033","spotify:user:angelolicini","2021-05-23T04:51:58Z","east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap","0.902","0.72","6","-2.776","0","0.347","0.26","0","0.0749","0.805","90.059","4","","Shady Records","C © 2003 Shady Records/Aftermath Records/Interscope Records, P ℗ 2003 Shady Records/Aftermath Records/Interscope Records"
"angelo","spotify:track:1m14pmtptcjM7mdWyJyAoc","Many Men (Wish Death)","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","spotify:album:0OfzVAXf5aVP4W4NIOLTKj","Get Rich Or Die Tryin'","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","2003-02-06","https://i.scdn.co/image/ab67616d0000b2734c88e268c9dc19f79ccdbb97","1","4","256226","https://p.scdn.co/mp3-preview/286d7529f799f0b180c80c37635fb4d1fffbe749?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USIR10300018","spotify:user:angelolicini","2021-05-23T04:52:08Z","east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap","0.653","0.826","6","-2.93","0","0.354","0.0153","0.00146","0.131","0.416","108.52","5","","Shady Records","C © 2007 Shady Records/Aftermath Records/Interscope Records, P ℗ 2007 Shady Records/Aftermath Records/Interscope Records"
"angelo","spotify:track:2c5Isyd07hWsl7AQia2Dig","Fast Lane","spotify:artist:77IURH5NC56Jn09QHi76is","Bad Meets Evil","spotify:album:5abCMGtyHwpOr9cEbwfP1P","Hell: The Sequel (Deluxe)","spotify:artist:77IURH5NC56Jn09QHi76is","Bad Meets Evil","2011-01-01","https://i.scdn.co/image/ab67616d0000b27359a1132f3cab22f80b2d2777","1","2","249560","https://p.scdn.co/mp3-preview/59907257584dce543ff2939205a328318adad1be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USUM71105406","spotify:user:angelolicini","2021-05-23T04:52:24Z","detroit hip hop","0.615","0.871","1","-3.804","1","0.281","0.0388","0","0.246","0.338","119.149","5","","Shady Records","C © 2011 Shady Records/Interscope Records, P ℗ 2011 Shady Records/Interscope Records"
"angelo","spotify:track:1ofhfV90EnYhEr7Un2fWiv","Changes","spotify:artist:1ZwdS5xdxEREPySFridCfh, spotify:artist:33JfM2NgTRFT9wMoQvcv6T","2Pac, Talent","spotify:album:1WBZyULtlANBKed7Zf9cDP","Greatest Hits","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","1998-01-01","https://i.scdn.co/image/ab67616d0000b273d81a092eb373ded457d94eec","2","5","268826","https://p.scdn.co/mp3-preview/74d3075346200319e853ce23a115382514a693d6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USIR10110269","spotify:user:angelolicini","2021-05-23T04:52:51Z","g funk,gangster rap,hip hop,rap,west coast rap","0.865","0.665","7","-6.289","1","0.073","0.0453","0","0.224","0.331","111.113","4","","2Pac Greatest Hits","C © 1998 Death Row Records/Interscope Records, P This Compilation ℗ 1998 Death Row Records/Interscope Records"
"angelo","spotify:track:5NQbUaeTEOGdD6hHcre0dZ","679 (feat. Remy Boyz)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL, spotify:artist:2s0yxtiHiyGe6CY4mbDYFi","Fetty Wap, Remy Boyz","spotify:album:0TyDTzG2zt2tg0wONT9wSU","679 (feat. Remy Boyz)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","Fetty Wap","2015-06-29","https://i.scdn.co/image/ab67616d0000b2731769fa68b9643ca67c4d44ce","1","1","196693","https://p.scdn.co/mp3-preview/a5e4cc1818969ad61ef99074c0dc821493b16b46?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QMCE31500250","spotify:user:angelolicini","2021-05-23T04:53:13Z","new jersey rap,pop rap,rap,southern hip hop,trap","0.618","0.717","7","-5.738","1","0.318","0.00256","0","0.625","0.603","190.05","4","","300 Entertainment/RGF Productions","C © 2015 300 Entertainment/RGF Productions, P ℗ 2015 300 Entertainment/RGF Productions"
"angelo","spotify:track:2d8JP84HNLKhmd6IYOoupQ","Trap Queen","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","Fetty Wap","spotify:album:2gKQvajkEEaDtkqJ8FJ4uw","Fetty Wap (Deluxe)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","Fetty Wap","2015-09-25","https://i.scdn.co/image/ab67616d0000b273de6bd09b07e2b4af4e409f6c","1","1","222093","https://p.scdn.co/mp3-preview/bb80bc456e2de9dc8340862fce79addd6b008fe4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","QM7XC1400004","spotify:user:angelolicini","2021-05-23T04:53:17Z","new jersey rap,pop rap,rap,southern hip hop,trap","0.746","0.873","7","-3.803","1","0.128","0.0244","0","0.354","0.817","148.075","4","","300 Entertainment/RGF Productions","C © 2015 300 Entertainment/RGF Productions, P ℗ 2015 300 Entertainment/RGF Productions"
"angelo","spotify:track:0W1OeXDPntUH0BeyJtE9UM","Jugg (feat. Monty)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL, spotify:artist:1Wnfj5qZsp8nPsGBBRRa4W","Fetty Wap, Monty","spotify:album:2gKQvajkEEaDtkqJ8FJ4uw","Fetty Wap (Deluxe)","spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","Fetty Wap","2015-09-25","https://i.scdn.co/image/ab67616d0000b273de6bd09b07e2b4af4e409f6c","1","4","200253","https://p.scdn.co/mp3-preview/2db4bcd39186ed611b7a3f42eb53c6c0dbcfe1ca?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","QMCE31500375","spotify:user:angelolicini","2021-05-23T04:53:23Z","new jersey rap,pop rap,rap,southern hip hop,trap","0.635","0.721","10","-4.811","0","0.049","0.0324","0","0.222","0.499","148.064","4","","300 Entertainment/RGF Productions","C © 2015 300 Entertainment/RGF Productions, P ℗ 2015 300 Entertainment/RGF Productions"
