"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"emily","spotify:track:7D0RhFcb3CrfPuTJ0obrod","Sparks","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","4","227093","https://p.scdn.co/mp3-preview/4ffce9684e191005c15ab6ce31540fcec78eaacf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBAYE0000569","","2023-11-30T03:07:50Z","permanent wave,pop","0.371","0.268","1","-10.506","1","0.0281","0.748","0.0517","0.104","0.165","102.617","3","","Parlophone UK","C © 2000 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2000 Parlophone Records Ltd, a Warner Music Group Company"
"emily","spotify:track:7yogx3TwxGwSxO2QITsT2q","A Nonsense Christmas","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:2D2boDrCPl6idtxpJF6r38","A Nonsense Christmas","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2022-12-07","https://i.scdn.co/image/ab67616d0000b2734601ead4fc2b9b65627b8298","1","1","153099","https://p.scdn.co/mp3-preview/088c31a49daff8509b1bb293b6c1153f9bfe51b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM72222808","","2023-11-30T01:11:02Z","pop","0.722","0.75","8","-4.051","1","0.0445","0.00768","0","0.128","0.57","139.019","4","","Island Records","C © 2022 Island Records, a division of UMG Recordings, Inc., P ℗ 2022 Island Records, a division of UMG Recordings, Inc."
"emily","spotify:track:6s3GEN8wK0OMzzzZbXj0fu","Hymn for the Weekend - Seeb Remix","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:5iNrZmtVMtYev5M9yoWpEq","Coldplay, Seeb","spotify:album:0ezwRysfWCrR5tDgpBwkIw","Hymn for the Weekend (Seeb Remix)","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:5iNrZmtVMtYev5M9yoWpEq","Coldplay, Seeb","2016-03-25","https://i.scdn.co/image/ab67616d0000b273ac08ece7ad90165ac7d532c4","1","1","212647","https://p.scdn.co/mp3-preview/63c5d626c093a2d727457207cdb0314cd7cda512?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAYE1600763","","2023-11-26T02:18:43Z","permanent wave,pop,pop dance","0.565","0.849","0","-3.516","0","0.0517","0.00868","0.00000468","0.12","0.427","102.034","4","","Parlophone UK","C © 2016 Parlophone Records Limited, a Warner Music Group Company, P ℗ 2016 Parlophone Records Limited, a Warner Music Group Company"
"emily","spotify:track:1dHiSGzb9WFtDKnBFJs4KO","Just Say","spotify:artist:0Adbm5kzcPUxFybf9fhjgG, spotify:artist:5d6YpWfrSRRZBTgfLt0xcz","Coco & Breezy, Tara Carosielli","spotify:album:0ivFb0VQTBvbDyfEDsoLCG","Just Say","spotify:artist:0Adbm5kzcPUxFybf9fhjgG, spotify:artist:5d6YpWfrSRRZBTgfLt0xcz","Coco & Breezy, Tara Carosielli","2022-06-16","https://i.scdn.co/image/ab67616d0000b273d2facc8fed4273915315f2fe","1","1","166000","https://p.scdn.co/mp3-preview/f672d7b46ea66a6a3180ee108b72ee971ffafdec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USYBL2101338","","2023-11-22T18:22:40Z","soulful house,indie electropop","0.83","0.419","5","-9.76","0","0.063","0.0465","0.0145","0.0815","0.511","119.993","4","","Moodswing Music","C 2022 Free Your Soul / Moodswing Music, P 2022 Free Your Soul / Moodswing Music"
"emily","spotify:track:7ybd52CorRfQz6aueDDHU0","So Good","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:1G3k89T6eKqTXU9qbDqmr6","Friends","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2019-04-10","https://i.scdn.co/image/ab67616d0000b2732b6ac03f570ff5c15372d98c","1","6","266560","https://p.scdn.co/mp3-preview/9cbeaa604a6f7a420cc2704360e08f646a6ae854?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBKPL1945405","","2023-11-16T20:44:52Z","bedroom pop,bedroom soul","0.698","0.784","10","-5.794","0","0.0325","0.0846","0.00135","0.0386","0.849","117.979","4","","Omar Apollo","C (C) 2019 Omar Apollo under exclusive license to AWAL Recordings America, Inc., P (P) 2019 Omar Apollo under exclusive license to AWAL Recordings America, Inc."
"emily","spotify:track:5lbFVZ3g63LLssXLKirfjA","Gimme Some Keys","spotify:artist:45lcbTsX07JWzmTIjcdyBz","Matroda","spotify:album:0DCYwEDewo2R9GbzwueiN6","Gimme Some Keys (Remixes)","spotify:artist:45lcbTsX07JWzmTIjcdyBz","Matroda","2022-12-16","https://i.scdn.co/image/ab67616d0000b2734c6b0e2eb096f7cf05efb3e7","1","7","169444","https://p.scdn.co/mp3-preview/cfed8e83b4a284ec4fbd03c7a4bc7ce26b63dc8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","CA5KR2136652","","2023-11-12T23:53:35Z","bass house,electro house,tech house","0.802","0.725","11","-5.218","0","0.0521","0.00222","0.819","0.064","0.864","124.992","4","","Insomniac Records","C 2022 Insomniac Records, P 2022 Insomniac Records"
"emily","spotify:track:3bq7dXN7arTdaq8mmKXxob","Love to Keep Me Warm","spotify:artist:7gW0r5CkdEUMm42w9XpyZO, spotify:artist:21TinSsF5ytwsfdyz5VSVS","Laufey, dodie","spotify:album:1yfNBTaCzznm3bLF0QHQmi","Love to Keep Me Warm","spotify:artist:7gW0r5CkdEUMm42w9XpyZO, spotify:artist:21TinSsF5ytwsfdyz5VSVS","Laufey, dodie","2021-12-03","https://i.scdn.co/image/ab67616d0000b2738cbed24951bdaba9b975e398","1","1","158133","https://p.scdn.co/mp3-preview/4fbf15e8e6423b760051f759fea363770314361b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBKPL2174394","","2023-11-12T19:59:01Z","gen z singer-songwriter,alt z,indie pop,pov: indie","0.669","0.208","0","-12.539","1","0.0692","0.97","0.000524","0.106","0.315","139.928","4","","Laufey","C (C) 2021 Laufey, P (P) 2021 Laufey"
"emily","spotify:track:7dJYggqjKo71KI9sLzqCs8","Agora Hills","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:6DmPNcfpkXBVRJsEIJY9tl","Scarlet","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2023-09-22","https://i.scdn.co/image/ab67616d0000b27394203dd82d27b494c777d07c","1","10","265360","https://p.scdn.co/mp3-preview/7e7617d241cfc1542ec5300a1b07dad71f656ec6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","93","USRC12301954","","2023-10-28T18:42:30Z","dance pop,pop","0.75","0.674","8","-6.128","0","0.097","0.228","0.0000891","0.122","0.392","123.026","4","","Kemosabe Records/RCA Records","P (P) 2023 Kemosabe Records/RCA Records"
"emily","spotify:track:5aIVCx5tnk0ntmdiinnYvw","Water","spotify:artist:3SozjO3Lat463tQICI9LcE","Tyla","spotify:album:22sXXkKgjEuawIFL1e1tRw","Water","spotify:artist:3SozjO3Lat463tQICI9LcE","Tyla","2023-07-28","https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e","1","1","200255","https://p.scdn.co/mp3-preview/92479d43666b31ca72b7e2a4fad74568f98ee41e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USSM12305126","","2023-10-24T12:10:34Z","","0.673","0.722","3","-3.495","0","0.0755","0.0856","0","0.137","0.519","117.187","4","","FAX Records/Epic","P (P) 2023 FAX Records, under exclusive license to Epic Records, a division of Sony Music Entertainment"
"emily","spotify:track:1nPXBgflWZSAomAon6i7qw","Alone in My Room","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","spotify:album:7rAKQOCXiqYF1PnWBot3Be","Dusk to Dawn","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","2023-10-10","https://i.scdn.co/image/ab67616d0000b2735d14ae6758a4b9c0342128bb","1","18","281481","https://p.scdn.co/mp3-preview/efe5d3603cfdc12dde3fdcf624d678e4896b1556?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","JPZ922308548","","2023-10-20T15:09:22Z","japanese alternative pop","0.364","0.165","9","-12.12","1","0.0325","0.933","0.144","0.119","0.0866","120.308","4","","Botanical House","C (C) 2023 Botanical House, P (P) 2023 Botanical House"
"emily","spotify:track:6XSqqQIy7Lm7SnwxS4NrGx","CLASSY 101","spotify:artist:2LRoIwlKmHjgvigdNGBHNo, spotify:artist:3qsKSpcV3ncke3hw52JSMB","Feid, Young Miko","spotify:album:4jtQUtS4ABgER3DnGfKJCv","CLASSY 101","spotify:artist:2LRoIwlKmHjgvigdNGBHNo, spotify:artist:3qsKSpcV3ncke3hw52JSMB","Feid, Young Miko","2023-03-31","https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a","1","1","195986","https://p.scdn.co/mp3-preview/8f1a72bcbf9bbbf05c73ea4972e0b51d35646d41?cid=9950ac751e34487dbbe027c4fd7f8e99","true","92","USUM72304895","","2023-10-03T12:20:17Z","colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino,trap latino,urbano latino","0.859","0.658","11","-4.79","1","0.159","0.145","0","0.12","0.672","100.065","4","","UMLE - Latino","C © 2023 UMG Recordings, Inc., P ℗ 2023 UMG Recordings, Inc."
"emily","spotify:track:322jQ92QZRnliN8VbQMsUh","Lights Are On - Instrumental","spotify:artist:15K8w0bfYieOr55vhSMgJN","Edith Whiskers","spotify:album:6k1xOgh9kZird5j4VNkPBd","Lights Are On (Instrumental)","spotify:artist:15K8w0bfYieOr55vhSMgJN","Edith Whiskers","2021-11-05","https://i.scdn.co/image/ab67616d0000b27349f70a853013632d07743d9f","1","1","192075","https://p.scdn.co/mp3-preview/0653a9cc40eec7ba4b6f16ffc2a10abda4a8c83d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBVHN2100016","","2023-09-20T19:05:56Z","","0.274","0.144","3","-20.374","1","0.0372","0.932","0.916","0.111","0.172","136.023","4","","Tinpot Records","C © 2021 Tinpot Records, P ℗ 2021 Tinpot Records"
"emily","spotify:track:4a7Z10eGGg3th4H5jqFScX","Movie Star","spotify:artist:74fcIBekHLf4hucCT3My0v","KAIRO","spotify:album:3jOzdF8WPsqwUp9OznStfw","Return To Sender","spotify:artist:74fcIBekHLf4hucCT3My0v","KAIRO","2022-11-09","https://i.scdn.co/image/ab67616d0000b27380d1a5bbbb0b44292f9e1271","1","4","172786","https://p.scdn.co/mp3-preview/bf97f794d087217c8999ce4455e5cd0aa8928ca5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USDA12208119","","2023-09-18T21:13:57Z","","0.56","0.288","5","-9.791","1","0.0292","0.919","0","0.131","0.312","95.089","4","","Take & Thrown Records","C 2022 Take & Thrown Records, P 2022 Take & Thrown Records"
