"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"emma_f","spotify:track:6q4yusLwjDYEcF6jXHdt7J","Do You Like Me?","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:1Jlpz65a64XDxwAVjufFUG","Do You Like Me?","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2023-01-27","https://i.scdn.co/image/ab67616d0000b273f2c86f3a59a1d420dc49f72b","1","1","227663","https://p.scdn.co/mp3-preview/43e38cfd02e40f38432f0abfb451946a7552263f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USUG12209347","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:25:40Z","canadian contemporary r&b","0.714","0.407","11","-6.806","1","0.0422","0.522","0.00618","0.128","0.358","76.978","4","","Republic Records","C © 2023 Hollace Inc., under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ℗ 2023 Hollace Inc., under exclusive license to Republic Records, a division of UMG Recordings, Inc."
"emma_f","spotify:track:4EcoXZhvbU3qS7ORWUEcVI","Take Me Where Your Heart Is","spotify:artist:22vqVhfPJab5kkU9txDGX3","Q","spotify:album:0oHFSP4uqDes9sOZQu43Jz","The Shave Experiment","spotify:artist:22vqVhfPJab5kkU9txDGX3","Q","2020-12-11","https://i.scdn.co/image/ab67616d0000b2730ff1b43816864742e646d3e5","1","3","192896","https://p.scdn.co/mp3-preview/0e89c00273c98e0f3277fd65d4542f19fa3da825?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USQX92003607","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:25:47Z","alternative r&b,indie r&b","0.858","0.426","10","-8.879","0","0.0402","0.00586","0.761","0.0977","0.419","89.981","4","","Columbia","P (P) 2020 Boy Meets Euphoria under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"emma_f","spotify:track:7jhxagwOk9y1HC5ciRfmkQ","Invincible (feat. Daniel Caesar)","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO, spotify:artist:20wkVLutqVOYrc0kxFs7rA","Omar Apollo, Daniel Caesar","spotify:album:5z7TD11Qh81Gbf52hd5zAv","Ivory","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2022-04-08","https://i.scdn.co/image/ab67616d0000b27390cf5d1ccfca2beb86149a19","1","4","216160","https://p.scdn.co/mp3-preview/5b5ccaaf070ee9bfaec3b351cf67f014ff7b5b04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USWB12200029","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:25:54Z","bedroom pop,bedroom soul,canadian contemporary r&b","0.555","0.474","6","-11.706","0","0.0668","0.224","0.00426","0.162","0.262","134.89","4","","Warner Records","C © 2022 Omar Apollo under exclusive license to Warner Records Inc., P ℗ 2021, 2022 Omar Apollo under exclusive license to Warner Records Inc."
"emma_f","spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz","Die For You","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","17","260252","https://p.scdn.co/mp3-preview/6f7fe5da92dc3660ddc4e23107b1d1e2bcf37989?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUG11601011","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:26:08Z","canadian contemporary r&b,canadian pop,pop","0.582","0.525","1","-7.163","0","0.0627","0.111","0","0.134","0.51","133.249","4","","Universal Republic Records","C © 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc., P ℗ 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc."
"emma_f","spotify:track:5ibTi2YwtvbB1bTOv2I93d","John Redcorn","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:5zUDvKAyEKkrhYLWJJWGPQ","Chasing Summer","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","2019-08-30","https://i.scdn.co/image/ab67616d0000b273bbee5481e94a03f4fd26fac4","1","2","187893","","true","58","USRC11902342","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:26:36Z","alternative r&b,la pop","0.734","0.438","6","-6.124","0","0.0865","0.224","0.00292","0.215","0.645","143.961","4","","Top Dawg Entertainment/RCA Records","P (P) 2019 Top Dawg Entertainment, under exclusive license to RCA Records"
"emma_f","spotify:track:2J6OF7CkpdQGSfm1wdclqn","Clouded","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:3vi20DRHkqv4HyVg9Rt9wC","Fuck The World","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","2020-02-07","https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a","1","2","110128","https://p.scdn.co/mp3-preview/8663094142e97cb5a91c978319675555449040df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","QM24S1927163","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:26:55Z","r&b,rap","0.583","0.344","2","-8.765","1","0.0559","0.774","0","0.143","0.581","65.203","3","","Lost Kids","P 2020 Lost Kids"
"emma_f","spotify:track:3YJJjQPAbDT7mGpX3WtQ9A","Good Days","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:781cKhbTPwLnPmo9BALQl7","Good Days","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2020-12-25","https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a","1","1","279204","https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USRC12004189","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:27:11Z","pop,r&b,rap","0.436","0.655","1","-8.37","0","0.0583","0.499","0.0000081","0.688","0.412","121.002","4","","Top Dawg Entertainment/RCA Records","P (P) 2020 Top Dawg Entertainment, under exclusive license to RCA Records"
"emma_f","spotify:track:3xKsf9qdS1CyvXSMEid6g8","Pink + White","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","3","184516","https://p.scdn.co/mp3-preview/0e3ca894e19c37cbbbd511d9eb682d8bee030126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","QZ5C81600003","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:27:30Z","lgbtq+ hip hop,neo soul","0.545","0.545","9","-7.362","1","0.107","0.667","0.0000548","0.417","0.549","159.94","3","","Boys Don't Cry","P 2016 Boys Don't Cry"
"emma_f","spotify:track:5PvVkf1Yuq3XyMqqjPiKPd","Been Away","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:3vi20DRHkqv4HyVg9Rt9wC","Fuck The World","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","2020-02-07","https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a","1","3","223629","https://p.scdn.co/mp3-preview/4b0945a347761e01bbc949c604c58c4cc93e6810?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","QM24S1926721","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:27:45Z","r&b,rap","0.602","0.5","8","-9.377","1","0.298","0.477","0.0000569","0.295","0.395","132.798","4","","Lost Kids","P 2020 Lost Kids"
"emma_f","spotify:track:0oufSLnKQDoBFX5mgkDCgR","Trust","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:03nFfkhtHqQZZqprep3G6r","Lost","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","2018-10-19","https://i.scdn.co/image/ab67616d0000b273bf3e522cd3fed64ae064095f","1","3","158420","https://p.scdn.co/mp3-preview/a3a9cf6b425ac0a1acc1bd762a3455b25b798307?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","QM24S1837815","spotify:user:p35d6g0t0jc7hp838cq4e3vez","2023-06-14T21:28:21Z","r&b,rap","0.764","0.394","8","-8.559","1","0.152","0.231","0.0000937","0.117","0.465","92.009","4","","Lost Kids / Human Re Sources","P 2018 Lost Kids / Human Re Sources"
