"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"kael","spotify:track:5NijSs5dAwaIybq1GaRTIe","Poison","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:17dsllSewkPuKbkGWU4chD","Poison","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","2016-08-03","https://i.scdn.co/image/ab67616d0000b2731a0d446b811ad07512eb19df","1","1","212992","https://p.scdn.co/mp3-preview/76811718496dc2fdad73ab21f527b3295b9c66f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","TCACQ1663630","","2023-11-06T23:45:00Z","r&b,rap","0.689","0.394","2","-10.102","0","0.065","0.711","0.000905","0.0859","0.382","117.489","3","","Lost Kids","C 2016 Lost Kids, P 2016 Lost Kids"
"kael","spotify:track:7qwt4xUIqQWCu1DJf96g2k","Hello?","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag, spotify:artist:3lLHpTOJ11tWiUNGYN14gt","Clairo, Rejjie Snow","spotify:album:3NEDQmYF1roygFssVEwkwv","diary 001","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2018-05-25","https://i.scdn.co/image/ab67616d0000b273bf94e27360806b5aa5025f93","1","1","135016","","false","72","US4HB1800005","","2023-10-31T16:14:38Z","bedroom pop,indie pop,pov: indie,indie soul,irish hip hop","0.839","0.473","10","-7.835","0","0.0607","0.641","0.000459","0.0939","0.0644","98.732","4","","FADER Label","C © 2018 Clairo under exclusive license to FADER Label, P ℗ 2018 Clairo under exclusive license to FADER Label"
"kael","spotify:track:5sA3i6SGkILMiZW6Fhx4wv","the way things go","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:2rLVMQbIw1C8JHmad6H0Pk","the way things go","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2023-07-19","https://i.scdn.co/image/ab67616d0000b2739c835164f2d56dae7ee8a402","1","1","187800","https://p.scdn.co/mp3-preview/2cba50ecb941b0c1bfdbcb1e79eabcb21a1abe50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBK3W2302683","","2023-10-31T00:04:28Z","bedroom pop,bubblegrunge,indie pop,pov: indie","0.528","0.513","9","-8.266","1","0.0306","0.848","0.0127","0.326","0.463","131.952","4","","Dirty Hit","C © 2023 Dirty Hit, P ℗ 2023 Dirty Hit"
"kael","spotify:track:2joEpsXflccZD0ZwKEdz5m","Sugar","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","spotify:album:7FkJxlcljM6Ix0pC2JSNOE","Untourable Album","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","2021-08-25","https://i.scdn.co/image/ab67616d0000b273caa2063da9054f7b4e83f353","1","3","176315","https://p.scdn.co/mp3-preview/2b39b40274cc4f36f6d4da4a3684ac65c6ffa831?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","TCAFR2123370","","2023-10-25T12:34:29Z","indie pop,pov: indie","0.823","0.461","9","-12.75","0","0.0366","0.647","0.327","0.14","0.798","114.026","4","","Independent","C 2021 Independent, P 2021 Independent"
"kael","spotify:track:0jBE7Fn78EAvmIs3dCd6GO","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2k8KgmDp9oHrmu0MIj4XDE","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4","1","1","151333","https://p.scdn.co/mp3-preview/0e23b06ea8c2ae7a9f0a7808fa92de560485149c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC10100762","","2023-10-23T14:58:49Z","alternative rock,garage rock,modern rock,permanent wave,rock","0.667","0.692","5","-8.361","1","0.0285","0.147","0.0000375","0.349","0.846","96.022","4","","RCA Records Label","P (P) 2001 The Strokes"
"kael","spotify:track:0XgNsVkl14kZ7cvNQ71BrN","Every Dog Has His Day","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","spotify:album:1hTPWpfjbWu8Trq3aZxFxB","YIN YANG TAPES: Fall Season (1989-1990)","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2023-05-19","https://i.scdn.co/image/ab67616d0000b273c5dfa1604a67609b5145792e","1","3","171870","https://p.scdn.co/mp3-preview/164ffc7e75822cb5844450a73343bad8506c2546?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","QZAPK2000363","","2023-10-21T12:16:00Z","cloud rap,dark trap,new orleans rap,underground hip hop","0.85","0.983","1","-3.294","1","0.389","0.358","0.472","0.456","0.576","155.052","4","","G59 Records","C (C) 2023 G59 Records, P (P) 2023 G59 Records"
"kael","spotify:track:4osgfFTICMkcGbbigdsa53","Novacane","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3RYdEXhGHojkTILUdtnRVJ","Novacane","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2011-01-01","https://i.scdn.co/image/ab67616d0000b27359a428dc7ef8e0c12b0fe18a","1","1","302346","","true","84","USUM71107257","","2023-10-17T22:47:09Z","lgbtq+ hip hop,neo soul","0.762","0.508","3","-9.112","1","0.0919","0.0584","0.00126","0.16","0.37","93.51","4","","Red Zone Entertainment / IDJ","C © 2011 The Island Def Jam Music Group, P ℗ 2011 The Island Def Jam Music Group"
"kael","spotify:track:6xxvhqxfBAhAOsf8OJ5shT","INVENTED IT","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2019-07-19","https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1","1","3","90240","https://p.scdn.co/mp3-preview/0e11ff40d54d52967888e2e93b2300dc57d79131?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","QM6MZ1999603","","2023-10-16T20:07:54Z","hip hop,rap","0.86","0.662","7","-7.864","1","0.296","0.0374","0.00000864","0.0742","0.482","96.013","4","","Baby Keem LLC","C (C) 2019 Baby Keem LLC, P (P) 2019 Baby Keem LLC"
"kael","spotify:track:2DBxhQbwnuXDioUVdL33S2","Kill Us All (feat. Denzel Curry)","spotify:artist:77SW9BnxLY8rJ0RciFqkHh, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","The Neighbourhood, Denzel Curry","spotify:album:0ODLCdHBFVvKwJGeSfd1jy","Hard To Imagine The Neighbourhood Ever Changing","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2018-11-02","https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40","1","2","161946","https://p.scdn.co/mp3-preview/c54c5972fc83bc17948cc91fcb2e2d0e927da0b0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USSM11807183","","2023-09-28T19:01:21Z","modern alternative rock,modern rock,pop,pov: indie,dark trap,drill,hip hop,miami hip hop,pop rap,rap,trap,underground hip hop","0.547","0.639","2","-6.958","1","0.117","0.0137","0","0.305","0.399","90.098","4","","Columbia","P (P) 2018 Columbia Records, a Division of Sony Music Entertainment"
"kael","spotify:track:3IX0yuEVvDbnqUwMBB3ouC","bad idea right?","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:1xJHno7SmdVtZAtXbdbDZp","GUTS","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2023-09-08","https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d","1","2","184783","","true","90","USUG12304094","","2023-09-17T15:10:13Z","pop","0.627","0.879","9","-3.446","1","0.0955","0.00193","0.00000687","0.0647","0.748","129.979","4","","Olivia Rodrigo PS","C © 2023 Olivia Rodrigo, under exclusive license to Geffen Records, P ℗ 2023 Olivia Rodrigo, under exclusive license to Geffen Records"
