"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"matt","spotify:track:59NraMJsLaMCVtwXTSia8i","Prada","spotify:artist:5wCmhq5J2hPwL2r0eKurxn, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2, spotify:artist:5VadK1havLhK1OpKYsXv9y","cassö, RAYE, D-Block Europe","spotify:album:5MU0RmBSpoSxOPYBfcobDc","Prada","spotify:artist:5wCmhq5J2hPwL2r0eKurxn, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2, spotify:artist:5VadK1havLhK1OpKYsXv9y","cassö, RAYE, D-Block Europe","2023-08-11","https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c","1","1","132359","https://p.scdn.co/mp3-preview/07ca5d41f53802807fd40d2778e66f633a2f3b8b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","94","GBCEN2300147","","2023-11-22T20:14:01Z","uk contemporary r&b,uk pop,melodic drill,uk hip hop","0.638","0.717","8","-5.804","1","0.0375","0.001","0.00000179","0.113","0.422","141.904","4","","Ministry of Sound Recordings","P (P) 2023 Under Exclusive License to Ministry of Sound Recordings"
"matt","spotify:track:21lfQ6cXJF15ubyPLB6qHz","Vanilla","spotify:artist:7FKTg75ADVMZgY3P9ZMRtH","flipturn","spotify:album:6tM8YvhhXemdO5xjsmS8Ro","Heavy Colors","spotify:artist:7FKTg75ADVMZgY3P9ZMRtH","flipturn","2017-03-31","https://i.scdn.co/image/ab67616d0000b2733d79d99049ec6b41c59ad5a1","1","2","248437","https://p.scdn.co/mp3-preview/3f0507ddbbe98405004cb59ae00f8367be96ca43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","TCACZ1763640","","2023-10-30T19:32:13Z","jacksonville indie,pov: indie","0.633","0.761","11","-7.097","1","0.034","0.0502","0.00114","0.638","0.801","96.061","4","","flipturn","C 2017 flipturn, P 2017 flipturn"
"matt","spotify:track:2BIfG6wL1t5wk1KixoK2BV","Chicago","spotify:artist:7FKTg75ADVMZgY3P9ZMRtH","flipturn","spotify:album:6tM8YvhhXemdO5xjsmS8Ro","Heavy Colors","spotify:artist:7FKTg75ADVMZgY3P9ZMRtH","flipturn","2017-03-31","https://i.scdn.co/image/ab67616d0000b2733d79d99049ec6b41c59ad5a1","1","3","319821","https://p.scdn.co/mp3-preview/2278d1daa61b894b9203f3c7ee66ba209bdc1be4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TCACZ1763642","","2023-10-30T17:49:32Z","jacksonville indie,pov: indie","0.709","0.655","4","-9.638","1","0.0342","0.543","0.00283","0.0931","0.609","111.97","4","","flipturn","C 2017 flipturn, P 2017 flipturn"
"matt","spotify:track:04uR2cdkgiaLIzebPcs25m","Two Weeks","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","spotify:album:3XQMgEnLQnOMkFaJA9w6sZ","Veckatimest","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","2009-05-24","https://i.scdn.co/image/ab67616d0000b273aaa83532a319c37f1fb4180c","1","2","246213","https://p.scdn.co/mp3-preview/85280509156c3f6ba4f72d9c25f455f72e9f8240?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBBPW0900065","","2023-09-29T03:35:03Z","art pop,baroque pop,brooklyn indie,indie rock,neo-synthpop,new weird america","0.526","0.723","5","-5.59","1","0.0294","0.3","0.00698","0.058","0.744","159.685","4","","Warp Records","C 2009 Warp Records, P 2009 Warp Records"
"matt","spotify:track:6cB0sVqlATraubALqGJ0l1","Foolin' Ourselves","spotify:artist:1GERDglQrxe4ynLzcdG6qP","Evan Honer","spotify:album:2Xz0fS1DBBIjLRVkImPFD0","West on I-10","spotify:artist:1GERDglQrxe4ynLzcdG6qP","Evan Honer","2023-04-28","https://i.scdn.co/image/ab67616d0000b273b5b58df7ebec59a8bf09bc82","1","7","191539","https://p.scdn.co/mp3-preview/74e3c7f915ffa3586bed6eddeaa7c05243f7deb9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","QZNWX2272728","","2023-09-16T18:26:08Z","","0.804","0.271","10","-9.95","1","0.0415","0.811","0","0.111","0.795","116.942","4","","Cloverdale Records","P 2023 Cloverdale Records"
"matt","spotify:track:5iXFSLQgs4MmA7tEvRKgAE","Bet","spotify:artist:1I75NNqQj1nWDCK1ObrCHo","Mark Laird","spotify:album:0mIQwkUsVo4Ls1c8j8S34r","Bet","spotify:artist:1I75NNqQj1nWDCK1ObrCHo","Mark Laird","2021-07-02","https://i.scdn.co/image/ab67616d0000b2735ed913f57b33d90ab37af672","1","1","287999","https://p.scdn.co/mp3-preview/c3c006d66b03a83cccc55fefc102979dda5db493?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","UKN6K2002820","","2023-08-20T00:39:45Z","","0.796","0.989","5","-8.341","0","0.0799","0.00896","0.795","0.394","0.563","140.003","4","","Shall Not Fade","C 2021 Shall Not Fade LTD, P 2021 Shall Not Fade LTD"
"matt","spotify:track:3QLjDkgLh9AOEHlhQtDuhs","Best I Ever Had","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1LShhEEKRT5MNPcO7jtYHh","So Far Gone","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2009","https://i.scdn.co/image/ab67616d0000b27354ef13c30a024a7f1ba79efd","1","10","257690","https://p.scdn.co/mp3-preview/6de38d9beebc2f5e219b6191ea5f26fca5cd138a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USCM51900161","","2023-08-15T17:44:55Z","canadian hip hop,canadian pop,hip hop,pop rap,rap","0.395","0.922","1","-2.176","1","0.375","0.19","0","0.134","0.558","162.361","4","","Young Money/Cash Money Records","C © 2019 Young Money/Cash Money Records, P ℗ 2019 Young Money/Cash Money Records"
"matt","spotify:track:2vTmp13DDKIRWTHPRYNfEh","Assumptions","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","spotify:album:2waZkaQGtcdGPWIkcUMxbQ","Assumptions (Jengi Remix)","spotify:artist:07UJz804RJxqNvxFXC3h9H, spotify:artist:4lgrPvofm0IT605L9OrOTN","Sam Gellaitry, Jengi","2023-02-10","https://i.scdn.co/image/ab67616d0000b273614806167e83311f562aae55","1","2","220838","https://p.scdn.co/mp3-preview/400571d0b7b39e0e1119266a93cc2a8accc7fe18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAYE2100388","","2023-08-14T15:28:45Z","future bass,scottish electronic,vapor twitch","0.639","0.815","11","-4.718","1","0.221","0.123","0.00113","0.193","0.443","126.055","4","","FFRR","C Under exclusive licence to Parlophone Records Limited., © 2023 Viewfinder Recordings Limited, P Under exclusive licence to Parlophone Records Limited, ℗ 2023 Viewfinder Recordings Limited"
"matt","spotify:track:7u0fz3V6cYeYTX91DMmIvQ","Food for the Soul","spotify:artist:3zW0xazqnHoq9QV9zBROVC","it's murph","spotify:album:3U20hCbqPM745vgo0PVcmw","Food for the Soul","spotify:artist:3zW0xazqnHoq9QV9zBROVC","it's murph","2023-02-17","https://i.scdn.co/image/ab67616d0000b27307f074178d042ed6df29e8e4","1","1","210562","https://p.scdn.co/mp3-preview/968dcfa101ef6a14e414fd0580111bcd8e6481e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QM24S2300657","","2023-08-14T15:21:43Z","stutter house","0.655","0.714","7","-7.78","0","0.0572","0.0512","0.48","0.32","0.131","123.002","4","","Sonic Café","P 2023 Sonic Café"
"matt","spotify:track:2FDTHlrBguDzQkp7PVj16Q","Sprinter","spotify:artist:6Ip8FS7vWT1uKkJSweANQK, spotify:artist:5H4yInM5zmHqpKIoMNAx4r","Dave, Central Cee","spotify:album:5l0QlaI3wdZpE7ggoO5Rwg","Sprinter","spotify:artist:6Ip8FS7vWT1uKkJSweANQK, spotify:artist:5H4yInM5zmHqpKIoMNAx4r","Dave, Central Cee","2023-06-01","https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60","1","1","229133","https://p.scdn.co/mp3-preview/2e97b9631a29437339458578ad607eb22d23663a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","GBUM72305159","","2023-08-09T16:08:54Z","uk hip hop,melodic drill","0.916","0.583","1","-8.067","1","0.241","0.186","0","0.0798","0.661","141.095","4","","Neighbourhood / Live Yours","C © 2023 Neighbourhood / Live Yours, P ℗ 2023 Neighbourhood / Live Yours"
