"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"nik","spotify:track:0JRoo5kkeboyTWVdMEU3pw","National Anthem of USSR","spotify:artist:4yNluGAiPbYXLwlA9KspbG","The Red Army Choir","spotify:album:3pzeurUsHJK1ueinchI4MB","The Red Army Choir","spotify:artist:4yNluGAiPbYXLwlA9KspbG","The Red Army Choir","2008-02-25","https://i.scdn.co/image/ab67616d0000b27396e5df15eb94600f301d6fea","1","1","227480","https://p.scdn.co/mp3-preview/e62407f084f1f48ad5a556fd6de3073a4f5ceca1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","FRX080090336","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-09T16:26:44Z","musique militaire,russian folk","0.221","0.169","3","-17.746","1","0.0356","0.411","0.302","0.0666","0.482","133.394","4","","Kosmos","C 2008 Kosmos, P 2008 Kosmos"
"nik","spotify:track:33ayEZDfgARpadIdqo87JQ","Amerika","spotify:artist:6wWVKhxIU2cEi0K81v7HvP","Rammstein","spotify:album:09qHS2BgOLqi3SMkbauxdJ","Reise, Reise","spotify:artist:6wWVKhxIU2cEi0K81v7HvP","Rammstein","2004-09-27","https://i.scdn.co/image/ab67616d0000b273136f94926d47c4986e50c877","1","6","226760","","false","62","DEN120404987","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-09T16:30:11Z","german metal,industrial,industrial metal,industrial rock,neue deutsche harte","0.608","0.885","2","-4.296","0","0.0963","0.00258","0.0000133","0.392","0.518","125.023","4","","Vertigo Berlin","C © 2004 Vertigo/Capitol, a division of Universal Music GmbH, P ℗ 2004 Vertigo/Capitol, a division of Universal Music GmbH"
"nik","spotify:track:0J6mQxEZnlRt9ymzFntA6z","Livin' On A Prayer","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:5uU2uM1RGHfzlA12opjqol","Slippery When Wet","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1986-01-01","https://i.scdn.co/image/ab67616d0000b273ebfe4419da90f76a5b278564","1","3","249293","","false","0","USPR38619998","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:03:39Z","glam metal,rock","0.534","0.887","0","-3.777","1","0.0345","0.0768","0.0000993","0.325","0.72","122.494","4","","Universal/Island Def Jam","C © 1986 The Island Def Jam Music Group, P ℗ 1986 The Island Def Jam Music Group"
"nik","spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l","It's My Life","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0Q9SljCrM0CL0bR23MuP69","Crush","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","2000-01-01","https://i.scdn.co/image/ab67616d0000b2737a231174875d7930de9dad58","1","1","224493","","false","82","USIR20000145","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:03:48Z","glam metal,rock","0.551","0.913","0","-4.063","0","0.0466","0.0263","0.0000135","0.347","0.544","119.992","4","","Island Records","C © 2000 The Island Def Jam Music Group, P ℗ 2000 The Island Def Jam Music Group"
"nik","spotify:track:06Zz2l7cVTCTgCNDe1bnEF","Have A Nice Day","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:3VfBy3QX5peTfME0UxzZ2P","Have A Nice Day","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","2005-01-01","https://i.scdn.co/image/ab67616d0000b273a2841eb6e1649170cc312871","1","1","229106","","false","65","USUM70502481","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:03:53Z","glam metal,rock","0.5","0.899","4","-4.066","1","0.0736","0.0000484","0.000198","0.0794","0.566","130.06","4","","Island Records","C © 2005 The Island Def Jam Music Group, P ℗ 2005 The Island Def Jam Music Group"
"nik","spotify:track:6uie49Ul2wKawsbIGc8MYb","When You're An Addams","spotify:artist:5bse9w1FhvHOjwC110JLe5","Company","spotify:album:11oSgc7tukNbysMv0nOpW3","The Addams Family (Original Cast Recording)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-01-01","https://i.scdn.co/image/ab67616d0000b273838937c63636fe3693dbe52e","1","3","265146","","false","49","USUM71013869","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:04:10Z","","0.633","0.509","7","-9.344","0","0.216","0.634","0","0.343","0.843","86.644","4","","Verve (Adult Contemporary)","C © 2010 Decca Label Group, P ℗ 2010 Decca Label Group"
"nik","spotify:track:3O30gAfom0QGgts47I2jQ1","One Normal Night","spotify:artist:5bse9w1FhvHOjwC110JLe5","Company","spotify:album:11oSgc7tukNbysMv0nOpW3","The Addams Family (Original Cast Recording)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-01-01","https://i.scdn.co/image/ab67616d0000b273838937c63636fe3693dbe52e","1","6","285413","","false","51","USUM71013872","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:04:17Z","","0.48","0.545","5","-8.351","1","0.325","0.665","0","0.621","0.539","83.206","3","","Verve (Adult Contemporary)","C © 2010 Decca Label Group, P ℗ 2010 Decca Label Group"
"nik","spotify:track:3zDQrzqq3PPRnuylK7VojP","Full Disclosure","spotify:artist:5bse9w1FhvHOjwC110JLe5","Company","spotify:album:11oSgc7tukNbysMv0nOpW3","The Addams Family (Original Cast Recording)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-01-01","https://i.scdn.co/image/ab67616d0000b273838937c63636fe3693dbe52e","1","9","154560","","false","41","USUM71013875","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:04:30Z","","0.619","0.478","1","-9.375","1","0.38","0.8","0","0.671","0.638","131.126","3","","Verve (Adult Contemporary)","C © 2010 Decca Label Group, P ℗ 2010 Decca Label Group"
"nik","spotify:track:4xvwjdCasFrBXS2BoUjlp8","Just Around The Corner","spotify:artist:2HTaDbxoU8q9ByDFSbxtwl","Bebe Neuwirth","spotify:album:11oSgc7tukNbysMv0nOpW3","The Addams Family (Original Cast Recording)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-01-01","https://i.scdn.co/image/ab67616d0000b273838937c63636fe3693dbe52e","1","12","238986","","false","40","USUM71013878","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:04:36Z","broadway,hollywood","0.567","0.404","6","-9.854","1","0.312","0.616","0","0.0727","0.641","129.137","4","","Verve (Adult Contemporary)","C © 2010 Decca Label Group, P ℗ 2010 Decca Label Group"
"nik","spotify:track:3OeUlriM0EZHdWleJtjoVr","Got My Mind Set On You - Remastered 2004","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","spotify:album:1nbq8GgaVdINI3PulXvPUq","Cloud Nine","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","1987-11-02","https://i.scdn.co/image/ab67616d0000b2737b13e5323813ed4c441100ff","1","11","234653","","false","4","GBEXP0300054","spotify:user:8lkexxcvtms0ifzy4tb3sz5za","2018-11-10T00:06:22Z","album rock,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock","0.767","0.854","4","-6.947","1","0.0426","0.465","0.00000203","0.485","0.963","149.206","4","","Parlophone","C © 2007 Umlaut Corp, P ℗ 2007 Umlaut Corp"
